Ref,Val,Package,PosX,PosY,Rot,Side
"C5","220uF","CP_Radial_D8.0mm_P2.50mm",-477.000000,-379.000000,-90.000000,top
"C7","220uF","CP_Radial_D8.0mm_P2.50mm",-477.000000,-400.347349,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",-633.950000,-372.777500,90.000000,top
"C13","10uF","C_0402_1005Metric",-643.925000,-372.825000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",-642.950000,-372.825000,90.000000,top
"C15","10uF","C_0402_1005Metric",-632.975000,-372.777500,90.000000,top
"C16","0.1uF","C_0603_1608Metric",-630.250000,-406.650000,90.000000,top
"C17","22uF","C_0603_1608Metric",-599.250000,-406.650000,90.000000,top
"C18","0.1uF","C_0603_1608Metric",-597.250000,-406.650000,90.000000,top
"C19","22uF","C_0603_1608Metric",-568.250000,-406.650000,90.000000,top
"C20","0.1uF","C_0603_1608Metric",-566.250000,-406.650000,90.000000,top
"C21","22uF","C_0603_1608Metric",-628.250000,-406.650000,90.000000,top
"C22","0.1uF","C_0603_1608Metric",-516.815000,-377.000000,90.000000,top
"C23","0.1uF","C_0603_1608Metric",-528.815000,-377.000000,90.000000,top
"C24","0.1uF","C_0603_1608Metric",-540.815000,-377.000000,90.000000,top
"C25","0.1uF","C_0603_1608Metric",-504.815000,-377.000000,90.000000,top
"C_BOOT1","100nF","C_0603_1608Metric",-541.128694,-402.030065,90.000000,top
"C_COMP1","1nF","C_0603_1608Metric",-537.628694,-398.280065,180.000000,top
"C_COMP2","10pF","C_0603_1608Metric",-537.628694,-399.780065,180.000000,top
"C_IN_1","0.1uF","C_1206_3216Metric",-537.228694,-409.305065,180.000000,top
"C_IN_2","22uF","C_1206_3216Metric",-537.228694,-411.605065,180.000000,top
"C_OUT_1","47uF","C_1206_3216Metric",-548.228694,-410.430065,-90.000000,top
"C_OUT_2","47uF","C_1206_3216Metric",-550.628694,-410.430065,-90.000000,top
"C_OUT_3","47uF","C_1206_3216Metric",-553.028694,-410.430065,-90.000000,top
"C_SS1","10nF","C_0603_1608Metric",-534.128694,-405.905065,-90.000000,top
"D1","SS54","D_SMA",-542.128694,-407.955065,-90.000000,top
"ESP_1","WROOM32","ESP32-WROOM-32",-579.000000,-399.000000,180.000000,top
"ESP_2","WROOM32","ESP32-WROOM-32",-610.000000,-399.000000,180.000000,top
"ESP_3","WROOM32","ESP32-WROOM-32",-641.000000,-399.000000,180.000000,top
"G***","LOGO","MaltWhiskey",-545.100000,-390.200000,0.000000,top
"J1","Power","TerminalBlock_bornier-2_P5.08mm",-477.000000,-393.500000,90.000000,top
"J2","Speaker Left","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",-644.800000,-366.150000,180.000000,top
"J3","Speaker Right","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",-634.800000,-366.150000,180.000000,top
"J4","I2S Microphone","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",-608.750000,-366.150000,180.000000,top
"J5","Bit 0-7","JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",-482.300000,-366.140000,180.000000,top
"J6","Bit 16-23","JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",-532.300000,-366.140000,180.000000,top
"J7","Bit 8-15","JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",-507.300000,-366.140000,180.000000,top
"J8","Bit 24-31","JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical",-557.300000,-366.140000,180.000000,top
"L1","3.3uH","L_Sunltech_SLO0630H_7.1x6.6mm",-547.778694,-404.455065,180.000000,top
"R6","220","R_0402_1005Metric",-486.255000,-370.750000,90.000000,top
"R7","220","R_0402_1005Metric",-487.525000,-370.750000,90.000000,top
